timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1715284358215,1052,SignIn,200,OK,Thread Group 1-2,text,true,,492,352,5,5,http://localhost:60968/authentication/authentication/signin,1050,0,65
1715284358207,1084,SignIn,200,OK,Thread Group 1-1,text,true,,492,352,5,5,http://localhost:60968/authentication/authentication/signin,1084,0,75
1715284359273,75,Add Language ,200,OK,Thread Group 1-2,text,true,,207,617,5,5,http://localhost:60190/profile/profile/addLanguage,75,0,4
1715284359294,66,Add Language ,200,OK,Thread Group 1-1,text,true,,207,617,5,5,http://localhost:60190/profile/profile/addLanguage,66,0,3
1715284358874,589,SignIn,200,OK,Thread Group 1-4,text,true,,492,352,5,5,http://localhost:60968/authentication/authentication/signin,588,0,3
1715284359361,147,Edit Language ,200,OK,Thread Group 1-1,text,true,,215,661,5,5,http://localhost:60190/profile/profile/updateLanguage,147,0,0
1715284359464,48,Add Language ,200,OK,Thread Group 1-4,text,true,,207,617,5,5,http://localhost:60190/profile/profile/addLanguage,48,0,2
1715284359349,177,Edit Language ,200,OK,Thread Group 1-2,text,true,,215,661,5,5,http://localhost:60190/profile/profile/updateLanguage,177,0,0
1715284359527,41,Delete Language ,200,OK,Thread Group 1-2,text,true,,221,641,6,6,http://localhost:60190/profile/profile/deleteLanguage,41,0,0
1715284359509,40,Delete Language ,200,OK,Thread Group 1-1,text,true,,221,641,6,6,http://localhost:60190/profile/profile/deleteLanguage,40,0,0
1715284359598,41,Add Skills,200,OK,Thread Group 1-2,text,true,,207,658,6,6,http://localhost:60190/profile/profile/addSkill,41,0,0
1715284359601,48,Add Skills,200,OK,Thread Group 1-1,text,true,,207,658,6,6,http://localhost:60190/profile/profile/addSkill,48,0,0
1715284359513,143,Edit Language ,200,OK,Thread Group 1-4,text,true,,215,661,6,6,http://localhost:60190/profile/profile/updateLanguage,143,0,0
1715284358555,1113,SignIn,200,OK,Thread Group 1-3,text,true,,492,352,6,6,http://localhost:60968/authentication/authentication/signin,1113,0,3
1715284359657,61,Delete Language ,200,OK,Thread Group 1-4,text,true,,221,641,6,6,http://localhost:60190/profile/profile/deleteLanguage,61,0,0
1715284359669,65,Add Language ,200,OK,Thread Group 1-3,text,true,,207,617,6,6,http://localhost:60190/profile/profile/addLanguage,65,0,2
1715284359720,58,Add Skills,200,OK,Thread Group 1-4,text,true,,207,658,6,6,http://localhost:60190/profile/profile/addSkill,58,0,0
1715284359540,254,SignIn,200,OK,Thread Group 1-6,text,true,,492,352,6,6,http://localhost:60968/authentication/authentication/signin,254,0,3
1715284359650,157,Edit Skills,200,OK,Thread Group 1-1,text,true,,207,690,6,6,http://localhost:60190/profile/profile/updateSkill,157,0,0
1715284359640,183,Edit Skills,200,OK,Thread Group 1-2,text,true,,207,690,6,6,http://localhost:60190/profile/profile/updateSkill,182,0,0
1715284359795,46,Add Language ,200,OK,Thread Group 1-6,text,true,,207,617,6,6,http://localhost:60190/profile/profile/addLanguage,45,0,2
1715284359214,637,SignIn,200,OK,Thread Group 1-5,text,true,,492,352,6,6,http://localhost:60968/authentication/authentication/signin,637,0,2
1715284359808,43,Delete Skills,200,OK,Thread Group 1-1,text,true,,221,676,6,6,http://localhost:60190/profile/profile/deleteSkill,43,0,0
1715284359823,57,Delete Skills,200,OK,Thread Group 1-2,text,true,,221,676,6,6,http://localhost:60190/profile/profile/deleteSkill,56,0,0
1715284359735,153,Edit Language ,200,OK,Thread Group 1-3,text,true,,215,661,7,7,http://localhost:60190/profile/profile/updateLanguage,153,0,0
1715284359852,50,Add Language ,200,OK,Thread Group 1-5,text,true,,207,617,7,7,http://localhost:60190/profile/profile/addLanguage,50,0,3
1715284359889,44,Delete Language ,200,OK,Thread Group 1-3,text,true,,221,641,7,7,http://localhost:60190/profile/profile/deleteLanguage,44,0,0
1715284359779,160,Edit Skills,200,OK,Thread Group 1-4,text,true,,207,690,7,7,http://localhost:60190/profile/profile/updateSkill,160,0,0
1715284359852,119,Add Education,200,OK,Thread Group 1-1,text,true,,207,704,7,7,http://localhost:60190/profile/profile/addEducation,119,0,0
1715284359939,47,Delete Skills,200,OK,Thread Group 1-4,text,true,,221,676,7,7,http://localhost:60190/profile/profile/deleteSkill,47,0,0
